Designator,Mid X,Mid Y,Layer,Rotation
CONN2,70.4,26.75,Top,0
CONN3,64.1,17.65,Top,0
CONN1,4.05,60.05,Top,90
Y2,36,54.1,Top,180
J2,87.89,11.95,Top,90
J3,89.3,34.1,Top,90
J4,92.8,64,Top,180
C2,25.7,60.2,Top,90
C4,16,68.6,Top,90
C6,32.3,60.1,Top,0
C9,34.1,49.2,Top,0
C10,37.9,49.2,Top,0
C13,40.6,60.1,Top,0
C16,43.6,28.7,Top,90
C19,60.2,35.44,Top,180
C22,93.7,56.9,Top,90
C24,7.6,42.2,Top,0
C25,12.8,37.1,Top,270
C1,6.2,19.1,Top,90
C3,36.9,8.9,Top,90
C7,30.8,41.9,Top,90
C8,31.67,32.91,Top,90
C14,41.4,49.1,Top,0
C15,43.2,66.6,Top,0
C17,54.8,47.9,Top,0
C18,58.6,57.4,Top,0
C21,66.9,43.3,Top,90
C23,45.8,6.9,Top,270
Y1,36.2,60.2,Top,0
IC1,14.3,61.6,Top,0
LED1,22.3,65.3,Top,270
LED2,27.1,65.2,Top,270
LED3,79,62.9,Top,270
LED4,78.9,56.7,Top,270
IC6,15.18,43.5,Top,0
IC4,61,9.9,Top,90
R1,22.4,68.2,Top,0
R2,26.9,68.2,Top,180
R3,30.8,45.1,Top,0
R4,30.7,39.3,Top,0
R5,43.2,35,Top,0
R6,43.3,31.9,Top,180
R7,50.2,45.7,Top,270
R8,60.7,49.2,Top,180
R9,60.7,46.3,Top,180
R10,74.44,36.78,Top,180
R11,78.9,65.8,Top,0
R12,78.9,59.6,Top,180
R13,45.6,13.1,Top,0
R14,45.7,10,Top,0
R15,68.5,11.7,Top,0
IC5,67.19,35.44,Top,0
SJ1,4.7,47.9,Top,0
SJ2,71.7,40.3,Top,0
SJ3,68.3,21.5,Top,0
D1,13.6,17.05,Top,270
D2,22.3,27.8,Top,270
J1,75.76,47.9,Top,0
IC3,48.7,55.7,Top,0
L1,8.9,29.1,Top,0
C11,36.65,20.3,Top,0
C12,36.72,15.31,Top,0
C20,61.7,64.7,Top,0
C5,24.4,11.7,Top,0
X2,21.4,50.2,Top,0
LD1,70.6,57.7,Top,0
IC2,31.47,27.51,Top,0
